Tipe,No,Nama,Alamat,Kota,Provinsi,Latitude,Longitude,Harga,Kategori_old,Hidden Gem,Transportasi,Deskripsi,Jam Buka,Jam Tutup,Hari Operasional,Fasilitas,Fitur_CBF,Kategori_Harga,Fitur_CBF_clean_old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rating_Destinasi,,Kategori,Fitur_CBF_clean
Destinasi,1,Taman Mini Indonesia Indah (TMII),"Jl. Raya Taman Mini, Ceger, Cipayung",Jakarta Timur,DKI Jakarta,-6304396,106889263,25000,Wisata Budaya,Tidak,"LRT (Stasiun TMII), TransJakarta, Kendaraan Pribadi","Suasana edukatif dan sangat rimbun pasca-revitalisasi menjadi kawasan bebas emisi. Menyuguhkan anjungan 33 provinsi. Keunikannya terletak pada wahana kereta gantung lintas danau nusantara, museum komodo, dan pertunjukan air mancur ""Tirta Bercerita"".",06:00,22:00,Setiap Hari,Tidak tersedia,"Wisata Budaya Wisata Budaya Suasana edukatif dan sangat rimbun pasca-revitalisasi menjadi kawasan bebas emisi. Menyuguhkan anjungan 33 provinsi. Keunikannya terletak pada wahana kereta gantung lintas danau nusantara, museum komodo, dan pertunjukan air mancur ""Tirta Bercerita"". Jakarta Timur Tidak LRT (Stasiun TMII), TransJakarta, Kendaraan Pribadi",Murah,wisata budaya wisata budaya suasana edukatif rimbun pasca revitalisasi kawasan bebas emisi menyuguhkan anjungan provinsi keunikannya terletak wahana kereta gantung lintas danau nusantara museum komodo pertunjukan air mancur tirta bercerita jakarta timur lrt stasiun tmii transjakarta kendaraan pribadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tse3.mm.bing.net/th/id/OIP.hQLvaC0TY-55d1R-CHA_cAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Budaya,wisata budaya suasana edukatif rimbun pasca revitalisasi kawasan bebas emisi menyuguhkan anjungan provinsi keunikannya terletak wahana kereta gantung lintas danau nusantara museum komodo pertunjukan air mancur tirta bercerita jakarta timur lrt stasiun tmii transjakarta kendaraan pribadi
Destinasi,2,Monumen Nasional (Monas),"Jl. Silang Monas, Gambir",Jakarta Pusat,DKI Jakarta,-6175152,106827148,15000,Wisata Sejarah,Tidak,"KRL (Gondangdia/Juanda), TransJakarta (Halte Monas)","Taman pelataran monumental yang sangat luas dan berangin. Keunikan utamanya adalah menara tugu setinggi 132 meter berlapis emas, memungkinkan wisatawan melihat tata kota Jakarta dari dek observasi, serta menelusuri diorama kemerdekaan di dasar tugu.",08:00,22:00,Selasa - Minggu (Senin tutup),Tidak tersedia,"Wisata Sejarah Wisata Sejarah Taman pelataran monumental yang sangat luas dan berangin. Keunikan utamanya adalah menara tugu setinggi 132 meter berlapis emas, memungkinkan wisatawan melihat tata kota Jakarta dari dek observasi, serta menelusuri diorama kemerdekaan di dasar tugu. Jakarta Pusat Tidak KRL (Gondangdia/Juanda), TransJakarta (Halte Monas)",Murah,wisata sejarah wisata sejarah taman pelataran monumental luas berangin keunikan utamanya menara tugu setinggi meter berlapis emas memungkinkan wisatawan melihat tata kota jakarta dek observasi menelusuri diorama kemerdekaan dasar tugu jakarta pusat krl gondangdia juanda transjakarta halte monas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tse3.mm.bing.net/th/id/OIP.KQlrSQWiPcKdu-SJ4RYB9AHaFi?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Sejarah,wisata sejarah taman pelataran monumental luas berangin keunikan utamanya menara tugu setinggi meter berlapis emas memungkinkan wisatawan melihat tata kota jakarta dek observasi menelusuri diorama kemerdekaan dasar tugu jakarta pusat krl gondangdia juanda transjakarta halte monas
Destinasi,3,Museum Nasional Indonesia (Museum Gajah),"Jl. Medan Merdeka Barat No.12, Gambir",Jakarta Pusat,DKI Jakarta,-61761460,1068215470,50000,Wisata Sejarah,Tidak,"TransJakarta (Halte Monas), KRL (Gambir)","Memancarkan kemegahan institusi peninggalan zaman kolonial. Sangat unik dengan instalasi interaktif baru berbasis kecerdasan buatan, koleksi arca Hindu-Buddha terlengkap, serta pertunjukan video mapping di fasad gedungnya saat malam hari.",08:00,16:00,Selasa - Minggu (Jumat-Sabtu tutup 20:00),Tidak tersedia,"Wisata Sejarah Wisata Sejarah Memancarkan kemegahan institusi peninggalan zaman kolonial. Sangat unik dengan instalasi interaktif baru berbasis kecerdasan buatan, koleksi arca Hindu-Buddha terlengkap, serta pertunjukan video mapping di fasad gedungnya saat malam hari. Jakarta Pusat Tidak TransJakarta (Halte Monas), KRL (Gambir)",Sedang,wisata sejarah wisata sejarah memancarkan kemegahan institusi peninggalan zaman kolonial unik instalasi interaktif baru berbasis kecerdasan buatan koleksi arca hindu buddha terlengkap pertunjukan video mapping fasad gedungnya malam hari jakarta pusat transjakarta halte monas krl gambir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tse1.mm.bing.net/th/id/OIP.QssFYrw95CGKCwsPYZakywHaE8?r=0&o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Sejarah,wisata sejarah memancarkan kemegahan institusi peninggalan zaman kolonial unik instalasi interaktif baru berbasis kecerdasan buatan koleksi arca hindu buddha terlengkap pertunjukan video mapping fasad gedungnya malam hari jakarta pusat transjakarta halte monas krl gambir
Destinasi,4,Kawasan Kota Tua Jakarta & Fatahillah,"Jl. Taman Fatahillah No.1, Pinangsia",Jakarta Barat,DKI Jakarta,-6134855,106813658,0,Wisata Sejarah,Tidak,"KRL (Stasiun Jakarta Kota), TransJakarta (Halte Kota)",Beratmosfer persis seperti kota-kota di Eropa kuno (Little Amsterdam). Alun-alun dihiasi pengamen jalanan dan sepeda ontel warna-warni. Menu andalan di sekitarnya adalah sajian indies dan kopi klasik dari Cafe Batavia peninggalan abad ke-19.,00:00,23:59,Senin - Minggu (Museum Selasa-Minggu),Tidak tersedia,"Wisata Sejarah Wisata Sejarah Beratmosfer persis seperti kota-kota di Eropa kuno (Little Amsterdam). Alun-alun dihiasi pengamen jalanan dan sepeda ontel warna-warni. Menu andalan di sekitarnya adalah sajian indies dan kopi klasik dari Cafe Batavia peninggalan abad ke-19. Jakarta Barat Tidak KRL (Stasiun Jakarta Kota), TransJakarta (Halte Kota)",Gratis,wisata sejarah wisata sejarah beratmosfer persis kota kota eropa kuno little amsterdam alun alun dihiasi pengamen jalanan sepeda ontel warna warni menu andalan sekitarnya sajian indies kopi klasik cafe batavia peninggalan abad jakarta barat krl stasiun jakarta kota transjakarta halte kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tse1.mm.bing.net/th/id/OIP._YtkRedFbpbAmhb4aPlNWwHaEK?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Sejarah,wisata sejarah beratmosfer persis kota kota eropa kuno little amsterdam alun alun dihiasi pengamen jalanan sepeda ontel warna warni menu andalan sekitarnya sajian indies kopi klasik cafe batavia peninggalan abad jakarta barat krl stasiun jakarta kota transjakarta halte kota
Destinasi,5,Museum Bank Indonesia,"Jl. Pintu Besar Utara No.3, Pinangsia",Jakarta Barat,DKI Jakarta,-6137006,106812967,50000,Wisata Edukasi,Tidak,"KRL (Stasiun Jakarta Kota), TransJakarta","Mengusung gaya arsitektur palatial yang mewah, dingin, dan tertata sempurna. Sangat unik karena wisatawan dapat memasuki ruangan brankas otentik bekas De Javasche Bank yang berisi tumpukan balok emas tiruan, didukung dengan teknologi visual termutakhir.",08:00,15:30,Selasa - Minggu,Tidak tersedia,"Wisata Edukasi Wisata Edukasi Mengusung gaya arsitektur palatial yang mewah, dingin, dan tertata sempurna. Sangat unik karena wisatawan dapat memasuki ruangan brankas otentik bekas De Javasche Bank yang berisi tumpukan balok emas tiruan, didukung dengan teknologi visual termutakhir. Jakarta Barat Tidak KRL (Stasiun Jakarta Kota), TransJakarta",Sedang,wisata edukasi wisata edukasi mengusung gaya arsitektur palatial mewah dingin tertata sempurna unik wisatawan memasuki ruangan brankas otentik bekas javasche bank berisi tumpukan balok emas tiruan didukung teknologi visual termutakhir jakarta barat krl stasiun jakarta kota transjakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tse3.mm.bing.net/th/id/OIP.QQ6ECc8iYn9gyLA-uE42FgHaEc?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Edukasi,wisata edukasi mengusung gaya arsitektur palatial mewah dingin tertata sempurna unik wisatawan memasuki ruangan brankas otentik bekas javasche bank berisi tumpukan balok emas tiruan didukung teknologi visual termutakhir jakarta barat krl stasiun jakarta kota transjakarta
Destinasi,6,Museum MACAN,"AKR Tower Level MM, Jl. Panjang No.5, Kebon Jeruk",Jakarta Barat,DKI Jakarta,-61907542,106767940,110000,Wisata Budaya,Tidak,"TransJakarta (Halte Kebon Jeruk), Taksi Daring","Berada di dalam gedung perkantoran, atmosfernya sunyi, eksklusif, berskala internasional, dan estetis. Keunikan absolutnya adalah kepemilikan instalasi Infinity Mirrored Room karya Yayoi Kusama. Menyediakan kopi artisan dari Common Grounds.",10:00,18:00,Selasa - Minggu,Tidak tersedia,"Wisata Budaya Wisata Budaya Berada di dalam gedung perkantoran, atmosfernya sunyi, eksklusif, berskala internasional, dan estetis. Keunikan absolutnya adalah kepemilikan instalasi Infinity Mirrored Room karya Yayoi Kusama. Menyediakan kopi artisan dari Common Grounds. Jakarta Barat Tidak TransJakarta (Halte Kebon Jeruk), Taksi Daring",Mahal,wisata budaya wisata budaya berada gedung perkantoran atmosfernya sunyi eksklusif berskala internasional estetis keunikan absolutnya kepemilikan instalasi infinity mirrored room karya yayoi kusama menyediakan kopi artisan common grounds jakarta barat transjakarta halte kebon jeruk taksi daring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://img.jakpost.net/c/2018/03/22/2018_03_22_42725_1521710104._large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Budaya,wisata budaya berada gedung perkantoran atmosfernya sunyi eksklusif berskala internasional estetis keunikan absolutnya kepemilikan instalasi infinity mirrored room karya yayoi kusama menyediakan kopi artisan common grounds jakarta barat transjakarta halte kebon jeruk taksi daring
Destinasi,7,Dunia Fantasi (Dufan) Ancol,"Jl. Lodan Timur No.7, Ancol, Pademangan",Jakarta Utara,DKI Jakarta,-6125076,106833575,250000,Taman Hiburan,Tidak,"TransJakarta (Halte Ancol), KRL (Ancol)","Taman hiburan keluarga super meriah yang penuh sorak sorai dan lagu tema nostalgia. Menawarkan keseruan pacu adrenalin dari wahana ikonik seperti Halilintar, Bianglala, Kora-Kora, hingga area tematik bergaya benua Amerika dan Asia.",10:00,18:00,Senin - Minggu,Tidak tersedia,"Taman Hiburan Taman Hiburan Taman hiburan keluarga super meriah yang penuh sorak sorai dan lagu tema nostalgia. Menawarkan keseruan pacu adrenalin dari wahana ikonik seperti Halilintar, Bianglala, Kora-Kora, hingga area tematik bergaya benua Amerika dan Asia. Jakarta Utara Tidak TransJakarta (Halte Ancol), KRL (Ancol)",Mahal,taman hiburan taman hiburan taman hiburan keluarga super meriah penuh sorak sorai lagu tema nostalgia menawarkan keseruan pacu adrenalin wahana ikonik halilintar bianglala kora kora area tematik bergaya benua amerika asia jakarta utara transjakarta halte ancol krl ancol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://res.klook.com/image/upload/w_750,h_469,c_fill,q_85/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/kp6xbefh4i4yprrvlwar.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Taman Hiburan,taman hiburan keluarga super meriah penuh sorak sorai lagu tema nostalgia menawarkan keseruan pacu adrenalin wahana ikonik halilintar bianglala kora kora area tematik bergaya benua amerika asia jakarta utara transjakarta halte ancol krl ancol
Destinasi,8,Sea World Ancol,"Jl. Lodan Timur No.7, Ancol, Pademangan",Jakarta Utara,DKI Jakarta,-6125629,106842789,110000,Wisata Bahari,Tidak,"TransJakarta (Halte Ancol), KRL (Ancol)","Memiliki suasana remang kebiruan menyerupai dasar lautan dalam yang sejuk. Keunikannya adalah keberadaan terowongan akuarium raksasa kaca (underwater tunnel), kolam sentuh ikan hiu anakan, dan atraksi penyelam memberi makan kawanan predator laut.",09:00,17:00,Setiap Hari,Tidak tersedia,"Wisata Bahari Wisata Bahari Memiliki suasana remang kebiruan menyerupai dasar lautan dalam yang sejuk. Keunikannya adalah keberadaan terowongan akuarium raksasa kaca (underwater tunnel), kolam sentuh ikan hiu anakan, dan atraksi penyelam memberi makan kawanan predator laut. Jakarta Utara Tidak TransJakarta (Halte Ancol), KRL (Ancol)",Mahal,wisata bahari wisata bahari suasana remang kebiruan menyerupai dasar lautan sejuk keunikannya keberadaan terowongan akuarium raksasa kaca underwater tunnel kolam sentuh ikan hiu anakan atraksi penyelam memberi makan kawanan predator laut jakarta utara transjakarta halte ancol krl ancol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tse3.mm.bing.net/th/id/OIP.L6xSmNFEuAkxRrFzWQXrRgHaD4?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Bahari,wisata bahari suasana remang kebiruan menyerupai dasar lautan sejuk keunikannya keberadaan terowongan akuarium raksasa kaca underwater tunnel kolam sentuh ikan hiu anakan atraksi penyelam memberi makan kawanan predator laut jakarta utara transjakarta halte ancol krl ancol
Destinasi,9,Ocean Dream Samudra,"Jl. Lodan Timur No.7, Ancol, Pademangan",Jakarta Utara,DKI Jakarta,-6124749,1068434432,110000,Wisata Edukasi,Tidak,"TransJakarta (Halte Ancol), KRL (Ancol)","Sentra konservasi luar ruangan berangin laut yang cocok untuk anak-anak. Menawarkan atraksi edukatif teater mamalia seperti kepintaran lumba-lumba melompat, pertunjukan aksi singa laut lucu, dan habitat koleksi burung langka.",09:00,17:00,Setiap Hari,Tidak tersedia,"Wisata Edukasi Wisata Edukasi Sentra konservasi luar ruangan berangin laut yang cocok untuk anak-anak. Menawarkan atraksi edukatif teater mamalia seperti kepintaran lumba-lumba melompat, pertunjukan aksi singa laut lucu, dan habitat koleksi burung langka. Jakarta Utara Tidak TransJakarta (Halte Ancol), KRL (Ancol)",Mahal,wisata edukasi wisata edukasi sentra konservasi luar ruangan berangin laut cocok anak anak menawarkan atraksi edukatif teater mamalia kepintaran lumba lumba melompat pertunjukan aksi singa laut lucu habitat koleksi burung langka jakarta utara transjakarta halte ancol krl ancol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1295,h_863/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/of0ijfnu7d13kwm3wq6y/[LewatiAntrean]TiketOceanDreamSamudraAncoldiJakarta.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Edukasi,wisata edukasi sentra konservasi luar ruangan berangin laut cocok anak anak menawarkan atraksi edukatif teater mamalia kepintaran lumba lumba melompat pertunjukan aksi singa laut lucu habitat koleksi burung langka jakarta utara transjakarta halte ancol krl ancol
Destinasi,10,Taman Ismail Marzuki (TIM),"Jl. Cikini Raya No.73, Menteng",Jakarta Pusat,DKI Jakarta,-6190857,106838365,0,Wisata Budaya,Tidak,"KRL (Stasiun Cikini), TransJakarta","Pusat kesenian paling bergengsi pasca-pemugaran dengan gaya arsitektur industrial-organik yang hangat. Keunikan utamanya adalah gedung Perpustakaan Jakarta yang amat estetik dan planetarium besar, dikelilingi taman hijau yang cocok untuk berdiskusi.",08:00,23:59,Setiap Hari,Tidak tersedia,"Wisata Budaya Wisata Budaya Pusat kesenian paling bergengsi pasca-pemugaran dengan gaya arsitektur industrial-organik yang hangat. Keunikan utamanya adalah gedung Perpustakaan Jakarta yang amat estetik dan planetarium besar, dikelilingi taman hijau yang cocok untuk berdiskusi. Jakarta Pusat Tidak KRL (Stasiun Cikini), TransJakarta",Gratis,wisata budaya wisata budaya pusat kesenian paling bergengsi pasca pemugaran gaya arsitektur industrial organik hangat keunikan utamanya gedung perpustakaan jakarta amat estetik planetarium besar dikelilingi taman hijau cocok berdiskusi jakarta pusat krl stasiun cikini transjakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tse3.mm.bing.net/th/id/OIP.Xeh7z7MgHYff2MYtTUH2IAHaFj?r=0&o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,Wisata Budaya,wisata budaya pusat kesenian paling bergengsi pasca pemugaran gaya arsitektur industrial organik hangat keunikan utamanya gedung perpustakaan jakarta amat estetik planetarium besar dikelilingi taman hijau cocok berdiskusi jakarta pusat krl stasiun cikini transjakarta
